,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,80.58,81,59,4.0,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,42.12,93,100,6.93,light rain
2,Cape Town,ZA,-33.9258,18.4232,58.91,73,20,5.99,few clouds
3,Aksarka,RU,66.5606,67.7975,3.36,95,100,1.86,overcast clouds
4,Hobyo,SO,5.3505,48.5268,83.25,72,67,9.84,broken clouds
5,Hermanus,ZA,-34.4187,19.2345,56.97,65,27,1.48,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,59.18,96,29,4.0,scattered clouds
7,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,74.73,72,100,4.38,overcast clouds
8,Busselton,AU,-33.65,115.3333,68.58,51,49,10.56,scattered clouds
9,Natal,BR,-5.795,-35.2094,74.05,100,20,4.61,few clouds
10,Mabay,PH,6.0577,124.4666,84.15,76,64,2.77,moderate rain
11,Buctzotz,MX,21.2,-88.7833,82.69,54,82,11.14,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,75.33,77,100,15.55,moderate rain
13,Ponta Do Sol,PT,32.6667,-17.1,59.72,63,50,1.97,scattered clouds
14,Calafell,ES,41.2,1.5683,56.08,83,100,7.0,overcast clouds
15,Kazachinskoye,RU,57.6953,93.2761,25.34,63,99,8.59,overcast clouds
16,Thompson,CA,55.7435,-97.8558,36.1,85,100,12.59,overcast clouds
17,Saint George,US,37.1041,-113.5841,65.43,19,20,12.66,few clouds
18,Murdochville,CA,48.9583,-65.5006,25.18,92,95,11.7,light snow
19,Thunder Bay,CA,48.4001,-89.3168,37.29,100,100,16.11,mist
20,Namatanai,PG,-3.6667,152.4333,85.69,62,90,5.95,overcast clouds
21,Albany,US,42.6001,-73.9662,47.88,55,100,2.73,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.52,77,54,13.91,broken clouds
23,Bajil,YE,15.0584,43.2851,81.52,70,8,1.97,clear sky
24,Hobart,AU,-42.8794,147.3294,65.26,58,20,4.61,few clouds
25,Kushima,JP,31.4583,131.2333,66.83,95,100,3.06,moderate rain
26,Pangnirtung,CA,66.1451,-65.7125,4.19,78,14,7.52,few clouds
27,Vaini,TO,-21.2,-175.2,77.92,69,100,3.13,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,52.48,90,97,8.39,overcast clouds
