City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-04-14 08:19:38,-23.1203,-134.9692,78.33,70,3,16.62
1,Cienfuegos,CU,2022-04-14 08:19:39,22.1461,-80.4356,71.74,94,0,3.44
2,Hithadhoo,MV,2022-04-14 08:19:39,-0.6,73.0833,83.66,73,100,8.97
3,Akdagmadeni,TR,2022-04-14 08:19:40,39.6603,35.8836,40.35,49,29,10.92
4,Victoria,HK,2022-04-14 08:19:41,22.2855,114.1577,89.19,64,1,7.0
5,San Juan,AR,2022-04-14 08:19:41,-31.5375,-68.5364,59.68,55,0,0.13
6,Albany,US,2022-04-14 08:14:48,42.6001,-73.9662,61.27,81,100,2.93
7,Atuona,PF,2022-04-14 08:19:42,-9.8,-139.0333,78.89,79,35,17.16
8,Diebougou,BF,2022-04-14 08:19:43,10.9667,-3.25,85.19,47,98,9.46
9,Juneau,US,2022-04-14 08:15:16,58.3019,-134.4197,27.84,75,0,0.0
10,Upernavik,GL,2022-04-14 08:19:43,72.7868,-56.1549,-15.45,100,95,4.72
11,Lagoa,PT,2022-04-14 08:19:44,39.05,-27.9833,58.51,64,99,15.19
12,Lorengau,PG,2022-04-14 08:19:44,-2.0226,147.2712,83.08,76,93,6.87
13,Carnarvon,AU,2022-04-14 08:19:45,-24.8667,113.6333,82.47,57,0,17.27
14,Dingle,PH,2022-04-14 08:19:45,10.9995,122.6711,80.08,82,100,3.47
15,Bambous Virieux,MU,2022-04-14 08:19:45,-20.3428,57.7575,84.22,78,75,17.27
16,Anqing,CN,2022-04-14 08:19:46,30.5092,117.0506,64.18,53,100,11.63
17,Trinidad,BO,2022-04-14 08:19:46,-14.8333,-64.9,70.63,97,99,7.43
18,Sitka,US,2022-04-14 08:19:47,57.0531,-135.33,33.69,44,0,5.75
19,Busselton,AU,2022-04-14 08:19:48,-33.65,115.3333,72.97,42,0,8.19
20,Touros,BR,2022-04-14 08:18:31,-5.1989,-35.4608,76.03,87,96,3.74
21,Bayan,CN,2022-04-14 08:19:48,46.0833,127.4,52.84,17,12,11.95
22,Hermanus,ZA,2022-04-14 08:19:49,-34.4187,19.2345,59.81,82,100,8.1
23,Roebourne,AU,2022-04-14 08:19:50,-20.7833,117.1333,93.2,26,0,12.57
24,Punta Arenas,CL,2022-04-14 08:17:19,-53.15,-70.9167,51.91,62,20,27.63
25,Chokurdakh,RU,2022-04-14 08:19:50,70.6333,147.9167,-0.45,89,16,7.65
